index,appId,mips_m0,mips_m1,mips_m2,mips_m3,ram_m0,ram_m1,ram_m2,ram_m3,bw_m0,bw_m1,bw_m2,bw_m3
0,A0,483,376,645,1000,80,53,53,10,10,10,26,800
1,A1,338,338,338,1000,48,48,48,10,9,24,24,800
2,A2,362,483,362,1000,40,60,40,10,20,8,8,800
3,A3,754,628,440,1000,94,62,62,10,31,31,12,800
4,A4,617,685,480,1000,68,68,68,10,13,13,34,800
5,A5,568,681,511,1000,56,85,56,10,11,28,28,800
6,A6,532,414,591,1000,88,59,59,10,11,29,11,800
7,A7,617,823,823,1000,102,68,102,10,34,34,13,800
8,A8,448,537,403,1000,44,44,67,10,8,8,8,800
9,A9,445,445,495,1000,74,49,49,10,9,9,24,800
