ID,Latitude,Longitude,Level,Parent,MIPS,RAM,BW,Geo.Cluster,MIPS.Cluster,RAM.Cluster,BW.Cluster,State,Details
1,-37.814602,144.963246,0,-1,44800,40000,100,0,0,0,0,VIC,Cloud
2,-37.810497,144.971183,1,0,2800,4000,10000,1,0,0,0,VIC,Proxy
3,-37.812178,144.9706,1,0,2800,4000,10000,2,0,0,0,VIC,Proxy
4,-37.812287,144.969257,1,0,2800,4000,10000,3,0,0,0,VIC,Proxy
5,-37.81291,144.970265,1,0,2800,4000,10000,4,0,0,0,VIC,Proxy
6,-37.814248,144.967154,1,0,2800,4000,10000,5,0,0,0,VIC,Proxy
7,-37.814189,144.965271,1,0,2800,4000,10000,6,0,0,0,VIC,Proxy
8,-37.814591,144.964667,1,0,2800,4000,10000,7,0,0,0,VIC,Proxy
9,-37.814132,144.96436,1,0,2800,4000,10000,8,0,0,0,VIC,Proxy
10,-37.814333,144.964419,1,0,2800,4000,10000,9,0,0,0,VIC,Proxy
11,-37.814665,144.964033,1,0,2800,4000,10000,10,0,0,0,VIC,Proxy
12,-37.814522,144.96365,1,0,2800,4000,10000,11,0,0,0,VIC,Proxy
13,-37.814602,144.963246,1,0,2800,4000,10000,12,0,0,0,VIC,Proxy
14,-37.812122,144.96893,2,2,50,100,20,1,2,2,2,VIC,Fog node
15,-37.812088,144.969863,2,2,50,100,20,1,2,2,2,VIC,Fog node
16,-37.811533,144.970534,2,2,75,150,50,1,2,2,2,VIC,Fog node
17,-37.811398,144.97071,2,2,150,200,80,1,2,2,3,VIC,Fog node
18,-37.811313,144.970729,2,2,150,300,90,1,2,2,3,VIC,Fog node
19,-37.810641,144.97078,2,2,150,300,90,1,2,2,3,VIC,Fog node
20,-37.810382,144.970836,2,2,150,300,90,1,2,2,3,VIC,Fog node
21,-37.810269,144.971223,2,2,150,300,90,1,2,2,3,VIC,Fog node
22,-37.809969,144.971708,2,2,250,300,90,1,2,2,3,VIC,Fog node
23,-37.809356,144.971828,2,2,250,300,90,1,2,2,3,VIC,Fog node
24,-37.809264,144.972614,2,2,700,500,100,1,1,2,3,VIC,Fog node
25,-37.809081,144.972672,2,2,900,1024,150,1,1,1,1,VIC,Fog node
26,-37.809041,144.972958,2,2,900,1024,150,1,1,1,1,VIC,Fog node
27,-37.81679,144.96843,2,3,50,100,20,2,2,2,2,VIC,Fog node
28,-37.816217,144.968815,2,3,100,200,80,2,2,2,1,VIC,Fog node
29,-37.815777,144.96918,2,3,150,200,80,2,2,2,1,VIC,Fog node
30,-37.815387,144.969286,2,3,200,300,90,2,2,2,1,VIC,Fog node
31,-37.815309,144.969476,2,3,200,500,100,2,2,2,1,VIC,Fog node
32,-37.814765,144.970508,2,3,250,500,100,2,2,2,1,VIC,Fog node
33,-37.812857,144.970928,2,3,700,1024,150,2,1,1,1,VIC,Fog node
34,-37.814398,144.964919,2,4,75,150,50,3,2,2,2,VIC,Fog node
35,-37.813447,144.965056,2,4,100,200,80,3,2,2,2,VIC,Fog node
36,-37.813167,144.965314,2,4,200,300,90,3,2,2,2,VIC,Fog node
37,-37.812845,144.965468,2,4,250,500,100,3,2,2,2,VIC,Fog node
38,-37.812578,144.966028,2,4,900,1024,150,3,1,1,1,VIC,Fog node
39,-37.812084,144.96632,2,4,1000,1024,150,3,1,1,1,VIC,Fog node
40,-37.811627,144.967095,2,4,1200,1024,150,3,1,1,1,VIC,Fog node
41,-37.811625,144.967997,2,4,1200,1024,150,3,1,1,1,VIC,Fog node
42,-37.810996,144.968248,2,4,1200,1024,150,3,1,1,1,VIC,Fog node
43,-37.816011,144.9712,2,5,50,100,20,4,2,2,3,VIC,Fog node
44,-37.815371,144.971421,2,5,50,100,20,4,2,2,3,VIC,Fog node
45,-37.815195,144.971668,2,5,75,150,50,4,2,2,3,VIC,Fog node
46,-37.81517,144.971685,2,5,75,150,50,4,2,2,3,VIC,Fog node
47,-37.814896,144.971705,2,5,100,200,80,4,2,2,2,VIC,Fog node
48,-37.814265,144.971971,2,5,200,200,80,4,2,2,2,VIC,Fog node
49,-37.814263,144.972058,2,5,250,200,80,4,2,2,2,VIC,Fog node
50,-37.814225,144.972105,2,5,250,300,90,4,2,2,2,VIC,Fog node
51,-37.813573,144.973076,2,5,250,500,100,4,2,2,2,VIC,Fog node
52,-37.813545,144.973217,2,5,500,500,100,4,2,2,2,VIC,Fog node
53,-37.81354,144.973404,2,5,700,1024,150,4,1,1,1,VIC,Fog node
54,-37.813463,144.974409,2,5,900,1024,150,4,1,1,1,VIC,Fog node
55,-37.81239,144.97476,2,5,1000,1024,150,4,1,1,1,VIC,Fog node
56,-37.82091,144.954229,2,6,50,100,20,5,2,2,2,VIC,Fog node
57,-37.820744,144.954367,2,6,50,100,20,5,2,2,2,VIC,Fog node
58,-37.820123,144.955155,2,6,50,100,20,5,2,2,2,VIC,Fog node
59,-37.819101,144.955485,2,6,50,100,20,5,2,2,2,VIC,Fog node
60,-37.818656,144.955969,2,6,100,200,80,5,2,2,1,VIC,Fog node
61,-37.81852,144.956626,2,6,100,200,80,5,2,2,1,VIC,Fog node
62,-37.818494,144.956805,2,6,100,200,80,5,2,2,1,VIC,Fog node
63,-37.818474,144.95692,2,6,150,200,80,5,2,2,1,VIC,Fog node
64,-37.818202,144.957141,2,6,250,200,80,5,2,2,1,VIC,Fog node
65,-37.81808,144.957211,2,6,250,300,90,5,2,2,1,VIC,Fog node
66,-37.818071,144.957552,2,6,500,1024,150,5,1,1,1,VIC,Fog node
67,-37.817779,144.957705,2,6,700,1024,150,5,1,1,1,VIC,Fog node
68,-37.815858,144.952075,2,7,50,100,20,6,2,2,2,VIC,Fog node
69,-37.81524,144.95256,2,7,50,100,20,6,2,2,2,VIC,Fog node
70,-37.814905,144.952919,2,7,50,100,20,6,2,2,2,VIC,Fog node
71,-37.814431,144.954135,2,7,75,150,50,6,2,2,2,VIC,Fog node
72,-37.813175,144.954653,2,7,150,300,90,6,2,2,1,VIC,Fog node
73,-37.812934,144.954686,2,7,150,300,90,6,2,2,1,VIC,Fog node
74,-37.81285,144.954818,2,7,200,300,90,6,2,2,1,VIC,Fog node
75,-37.812799,144.954913,2,7,250,500,100,6,2,2,1,VIC,Fog node
76,-37.812343,144.955026,2,7,900,1024,150,6,1,1,1,VIC,Fog node
77,-37.817386,144.960706,2,8,50,100,20,7,2,2,2,VIC,Fog node
78,-37.817303,144.960908,2,8,50,100,20,7,2,2,2,VIC,Fog node
79,-37.817261,144.961028,2,8,50,100,20,7,2,2,2,VIC,Fog node
80,-37.817069,144.96123,2,8,100,200,80,7,2,2,1,VIC,Fog node
81,-37.816891,144.961635,2,8,200,300,90,7,2,2,1,VIC,Fog node
82,-37.816822,144.961828,2,8,200,300,90,7,2,2,1,VIC,Fog node
83,-37.81653,144.961957,2,8,200,500,100,7,2,1,1,VIC,Fog node
84,-37.816356,144.961967,2,8,200,500,100,7,2,1,1,VIC,Fog node
85,-37.816209,144.962313,2,8,250,500,100,7,2,1,1,VIC,Fog node
86,-37.816158,144.962344,2,8,700,500,100,7,1,1,1,VIC,Fog node
87,-37.815992,144.962515,2,8,900,500,100,7,1,1,1,VIC,Fog node
88,-37.815461,144.962656,2,8,900,500,100,7,1,1,1,VIC,Fog node
89,-37.815196,144.96297,2,8,900,1024,150,7,1,1,1,VIC,Fog node
90,-37.814989,144.963209,2,8,1000,1024,150,7,1,1,1,VIC,Fog node
91,-37.812723,144.959971,2,9,75,150,50,8,2,2,2,VIC,Fog node
92,-37.812711,144.960164,2,9,75,150,50,8,2,2,2,VIC,Fog node
93,-37.81215,144.9618,2,9,150,200,80,8,2,2,2,VIC,Fog node
94,-37.811978,144.961955,2,9,150,300,90,8,2,2,2,VIC,Fog node
95,-37.811678,144.962116,2,9,150,300,90,8,2,2,2,VIC,Fog node
96,-37.811251,144.962388,2,9,200,300,90,8,2,2,2,VIC,Fog node
97,-37.811126,144.96269,2,9,200,500,100,8,2,2,2,VIC,Fog node
98,-37.810911,144.962783,2,9,250,500,100,8,2,2,2,VIC,Fog node
99,-37.810219,144.963281,2,9,250,500,100,8,2,2,2,VIC,Fog node
100,-37.810065,144.963286,2,9,250,1024,150,8,2,1,1,VIC,Fog node
101,-37.809885,144.964091,2,9,700,1024,150,8,1,1,1,VIC,Fog node
102,-37.809538,144.964157,2,9,900,1024,150,8,1,1,1,VIC,Fog node
103,-37.818166,144.96337,2,10,50,100,20,9,2,2,1,VIC,Fog node
104,-37.818018,144.9635,2,10,75,150,50,9,2,2,1,VIC,Fog node
105,-37.816496,144.963537,2,10,200,200,80,9,2,2,2,VIC,Fog node
106,-37.81631,144.964351,2,10,200,300,90,9,2,2,2,VIC,Fog node
107,-37.816206,144.964421,2,10,250,300,90,9,2,2,2,VIC,Fog node
108,-37.816122,144.964596,2,10,250,300,90,9,2,2,2,VIC,Fog node
109,-37.815549,144.964831,2,10,250,500,100,9,2,2,2,VIC,Fog node
110,-37.815488,144.96509,2,10,500,500,100,9,1,2,2,VIC,Fog node
111,-37.814484,144.966634,2,10,700,1024,150,9,1,1,2,VIC,Fog node
112,-37.814395,144.966686,2,10,700,1024,150,9,1,1,2,VIC,Fog node
113,-37.814257,144.966824,2,10,700,1024,150,9,1,1,2,VIC,Fog node
114,-37.819576,144.958485,2,11,100,200,80,10,2,2,2,VIC,Fog node
115,-37.819471,144.959217,2,11,100,200,80,10,2,2,2,VIC,Fog node
116,-37.81922,144.959237,2,11,150,200,80,10,2,2,2,VIC,Fog node
117,-37.818218,144.959445,2,11,200,300,90,10,2,2,2,VIC,Fog node
118,-37.818162,144.95985,2,11,200,500,100,10,2,2,2,VIC,Fog node
119,-37.818151,144.959934,2,11,250,500,100,10,1,2,2,VIC,Fog node
120,-37.81751,144.960069,2,11,250,1024,150,10,1,1,1,VIC,Fog node
121,-37.817483,144.960705,2,11,250,1024,150,10,1,1,1,VIC,Fog node
122,-37.817384,144.96081,2,11,500,1024,150,10,1,1,1,VIC,Fog node
123,-37.813963,144.956402,2,12,50,100,20,11,2,2,2,VIC,Fog node
124,-37.812899,144.956414,2,12,100,200,80,11,2,2,2,VIC,Fog node
125,-37.812653,144.956622,2,12,100,200,80,11,2,2,2,VIC,Fog node
126,-37.812379,144.957301,2,12,200,200,80,11,2,2,2,VIC,Fog node
127,-37.811928,144.957909,2,12,250,500,100,11,2,2,1,VIC,Fog node
128,-37.811269,144.959234,2,12,700,500,100,11,1,2,1,VIC,Fog node
129,-37.811022,144.959886,2,12,1000,1024,150,11,1,1,1,VIC,Fog node
130,-37.816467,144.955905,2,13,50,100,20,12,2,2,2,VIC,Fog node
131,-37.816299,144.956714,2,13,50,100,20,12,2,2,2,VIC,Fog node
132,-37.81607,144.957254,2,13,75,150,50,12,2,2,2,VIC,Fog node
133,-37.815975,144.958295,2,13,75,150,50,12,2,2,2,VIC,Fog node
134,-37.815891,144.958334,2,13,100,200,80,12,2,2,1,VIC,Fog node
135,-37.815793,144.958369,2,13,150,300,90,12,2,2,1,VIC,Fog node
136,-37.815493,144.958861,2,13,200,500,100,12,2,1,1,VIC,Fog node
137,-37.815296,144.95902,2,13,900,500,100,12,1,1,1,VIC,Fog node
138,-37.813381,144.959612,2,13,1000,500,100,12,1,1,1,VIC,Fog node
