id,x,y,cpu,memory,storage,bandwidth
0,34.5,162.68,50,100,80,20
1,123.43,218.06,900,300,220,90
2,136.09,181.03,150,300,220,90
3,168.37,120.9,200,500,270,100
4,80.07,132.29,100,200,170,80
5,116.79,127.55,250,1024,300,150
6,84.82,107.61,75,150,120,50
7,81.66,96.85,700,300,220,90
8,159.83,161.73,900,500,270,100
9,81.02,184.52,1200,1024,300,150
10,61.08,145.27,500,200,170,80
11,174.39,157.3,1000,500,270,100
12,48.42,151.28,700,200,170,80
13,126.91,157.93,1000,1024,300,150
14,52.85,146.22,333,827,167,77
15,97.16,66.46,50,886,177,149
16,82.92,177.24,111,314,221,150
17,65.51,224.39,1099,533,202,63
18,101.91,168.06,109,121,300,40
19,82.92,167.43,891,345,228,114
20,168.06,83.87,620,581,197,91
21,106.03,95.26,235,1024,259,75
22,100.96,124.07,743,348,212,65
23,65.83,192.11,700,827,143,91
24,77.86,202.56,1131,465,210,142
25,98.11,150.33,50,965,176,111
26,114.57,231.04,646,985,169,43
27,109.51,76.91,402,1024,225,150
28,61.72,171.22,929,100,300,78
29,50.32,159.2,551,1024,224,92
30,91.15,231.04,51,363,233,126
31,150.33,150.02,521,100,230,71
32,137.04,131.03,614,100,206,105
33,80.71,193.06,50,839,278,108
34,136.09,220.6,126,100,238,119
35,63.93,133.88,844,425,300,129
36,55.7,95.58,227,676,206,90
37,126.28,190.21,819,598,177,78
38,74.06,106.97,467,100,219,137
39,71.53,125.96,662,149,229,123
40,169.32,212.05,1200,257,167,121
41,144.95,202.56,1122,100,219,105
42,52.22,197.49,395,832,230,67
43,133.56,97.48,343,976,243,53
44,71.53,159.2,954,343,115,74
45,90.83,208.57,632,279,278,94
46,45.89,185.78,289,295,201,113
47,107.61,215.85,667,399,252,150
48,40.51,147.49,166,738,223,150
49,107.29,185.78,385,177,181,91
